Region,PM10_RUNEX,PM10_Perc
Alpine,0.001829873,0
Sierra,0.002535117,1.724137931
Modoc,0.006162003,3.448275862
Mariposa,0.006265826,5.172413793
Del Norte,0.007489482,6.896551724
Mono,0.009853319,8.620689655
Plumas,0.01255707,10.34482759
Trinity,0.012637916,12.06896552
Lassen,0.013791407,13.79310345
Inyo,0.016104934,15.51724138
Tuolumne,0.016124024,17.24137931
Calaveras,0.016630629,18.96551724
Yuba,0.017235071,20.68965517
Amador,0.017419899,22.4137931
Glenn,0.02207716,24.13793103
Lake,0.023225254,25.86206897
Colusa,0.023678727,27.5862069
Napa,0.031797859,29.31034483
San Benito,0.03573325,31.03448276
El Dorado,0.036383074,32.75862069
Nevada,0.040665808,34.48275862
Sutter,0.041254467,36.20689655
Santa Cruz,0.048666873,37.93103448
Siskiyou,0.05225058,39.65517241
Tehama,0.053642704,41.37931034
Mendocino,0.054031981,43.10344828
Humboldt,0.055690954,44.82758621
Marin,0.059309992,46.55172414
Butte,0.061650216,48.27586207
Imperial,0.067103559,50
Madera,0.067308748,51.72413793
Kings,0.070500964,53.44827586
Yolo,0.071375182,55.17241379
San Luis Obispo,0.081514091,56.89655172
Placer,0.086487095,58.62068966
San Francisco,0.089797957,60.34482759
Shasta,0.093166363,62.06896552
Santa Barbara,0.09632808,63.79310345
Monterey,0.10121967,65.51724138
Sonoma,0.103452886,67.24137931
San Mateo,0.117792195,68.96551724
Tulare,0.12109121,70.68965517
Solano,0.121862183,72.4137931
Ventura,0.130949949,74.13793103
Merced,0.141024311,75.86206897
Stanislaus,0.146605685,77.5862069
Contra Costa,0.16586792,79.31034483
San Joaquin,0.208737857,81.03448276
Sacramento,0.272569948,82.75862069
Fresno,0.274283132,84.48275862
Santa Clara,0.3021873,86.20689655
Alameda,0.42073277,87.93103448
Kern,0.463921278,89.65517241
Riverside,0.475114757,91.37931034
Orange,0.497446077,93.10344828
San Bernardino,0.512780157,94.82758621
San Diego,0.559967993,96.55172414
Los Angeles,1.801595898,98.27586207
