Region,NOx_RUNEX,NOx_Perc
Alpine,0.16114894515032763,0.0
Sierra,0.2089667767110661,1.7241379310344827
Modoc,0.45084537021386645,3.4482758620689653
Mariposa,0.5169570106498528,5.172413793103448
Del Norte,0.622262366667213,6.896551724137931
Mono,0.8246226015813567,8.620689655172415
Plumas,0.9033445550732201,10.344827586206897
Trinity,0.9201962178350123,12.068965517241379
Lassen,1.0830259740686203,13.793103448275861
Calaveras,1.1964251207529801,15.517241379310345
Tuolumne,1.2413899563626607,17.24137931034483
Yuba,1.2585827194399326,18.96551724137931
Amador,1.3003116102153645,20.689655172413794
Inyo,1.3239309516942337,22.413793103448278
Glenn,1.5339889158022944,24.137931034482758
Lake,1.5359163568821228,25.862068965517242
Colusa ,1.733426258608119,27.586206896551722
Napa,2.220565279751684,29.310344827586203
San Benito,2.5702579081062553,31.03448275862069
El Dorado,2.6104515897168787,32.758620689655174
Santa Cruz,2.9663743513865177,34.48275862068966
Sutter,3.06519586002935,36.206896551724135
Nevada,3.2591766559453523,37.93103448275862
Marin,3.641762142553143,39.6551724137931
Mendocino,3.77592849014891,41.37931034482759
Siskiyou,3.978591793816392,43.103448275862064
Tehama,4.039504151770568,44.827586206896555
Humboldt,4.093271689113417,46.55172413793103
Butte,4.567383332614234,48.275862068965516
Yolo,4.657001830649801,50.0
San Francisco,4.8146300745378525,51.724137931034484
Madera,5.402689617588501,53.44827586206896
San Luis Obispo,5.742167533667349,55.172413793103445
Kings,6.033019678735865,56.896551724137936
Placer,6.21338352254845,58.620689655172406
Imperial,6.339639893375198,60.3448275862069
Sonoma,6.589833298861458,62.06896551724138
San Mateo,6.5942949918771925,63.793103448275865
Santa Barbara,6.699666940192587,65.51724137931035
Shasta,6.885254066496193,67.24137931034483
Monterey,7.05770400701221,68.96551724137932
Ventura,8.641092489560684,70.6896551724138
Tulare,8.91773046211996,72.41379310344827
Solano,9.201823775366112,74.13793103448276
Stanislaus,10.513524445150827,75.86206896551724
Merced,11.505404254378679,77.58620689655173
Contra Costa,11.855521682952187,79.3103448275862
San Joaquin,15.41261493635559,81.03448275862068
Sacramento,19.501743699306285,82.75862068965517
Fresno,19.93346802070685,84.48275862068965
Santa Clara,20.14130631142946,86.20689655172413
Alameda,27.91343663251617,87.93103448275862
Orange,31.022057384799385,89.65517241379311
Riverside,35.42538705344582,91.37931034482759
Kern,36.61088461734306,93.10344827586206
San Diego,39.02301587372465,94.82758620689656
San Bernardino,42.02871524508414,96.55172413793103
Los Angeles,123.86035770130887,98.27586206896551
