GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
8600000US92386,92386,ZCTA5 92386,925,217,34783,10289,96.2,4.2,34433,10331,0.0,3.7,-,**,0.0,3.7,-,**,0.8,1.2,-,**,0.0,3.7,-,**,3.0,4.8,-,**,0.0,3.7,-,**,15.1,12.8,48456,7826,84.1,12.6,33300,13878,0.0,3.7,-,**,18.5,10.6,38688,54047,39.1,15.2,46875,15361,42.4,16.0,29286,18016,459,193,38750,17432,28.5,22.6,48805,19472,71.5,22.6,34067,11724,63.4,23.6,43073,14877,21.8,21.6,19886,3706,14.8,22.5,-,**,466,160,27389,20617,68.2,18.4,39226,13627,46.4,18.3,26818,23048,21.9,16.7,65078,36473,31.8,18.4,18370,11369,31.8,18.4,18370,11369,0.0,7.2,-,**,34.1,(X),(X),(X),34.0,(X),(X),(X),34.1,(X),(X),(X)
8600000US92389,92389,ZCTA5 92389,60,21,12000,6361,100.0,39.7,12000,6361,0.0,39.7,-,**,0.0,39.7,-,**,0.0,39.7,-,**,0.0,39.7,-,**,0.0,39.7,-,**,0.0,39.7,-,**,0.0,39.7,-,**,100.0,39.7,12000,6361,0.0,39.7,-,**,6.7,11.0,-,**,41.7,16.9,9750,3015,51.7,19.2,20536,12127,18,12,20714,13932,22.2,36.6,-,**,77.8,36.6,21429,22058,61.1,35.7,20536,17100,38.9,35.7,-,**,0.0,72.5,-,**,42,18,11000,3644,47.6,26.8,10500,14649,28.6,23.6,10625,14168,19.0,19.8,7500,46861,52.4,26.8,13000,14699,52.4,26.8,13000,14699,0.0,47.5,-,**,11.7,(X),(X),(X),38.9,(X),(X),(X),0.0,(X),(X),(X)
8600000US92391,92391,ZCTA5 92391,987,197,37150,14323,82.6,10.5,47530,26561,0.0,3.5,-,**,0.0,3.5,-,**,0.0,3.5,-,**,0.0,3.5,-,**,16.5,10.4,28224,17102,0.9,1.5,-,**,24.0,10.8,27634,8100,75.1,10.7,49732,23746,0.9,1.4,-,**,26.6,8.9,30875,14920,44.0,11.6,48929,16811,28.5,9.2,29156,23051,688,189,41389,14779,60.2,15.4,37679,13923,39.8,15.4,79352,49652,67.2,15.8,49167,46277,9.4,9.7,-,**,23.4,14.5,42049,16280,299,126,25438,19083,60.2,17.9,11944,48963,60.2,17.9,11944,48963,0.0,11.0,-,**,39.8,17.9,30268,28554,35.5,17.8,31429,40618,4.3,7.6,-,**,24.2,(X),(X),(X),32.1,(X),(X),(X),6.0,(X),(X),(X)
8600000US92392,92392,ZCTA5 92392,15374,571,56277,3821,70.5,2.7,60396,4338,13.9,2.1,38707,6797,0.6,0.5,31314,10197,4.7,1.4,41409,23821,0.5,0.6,51707,66815,7.8,1.8,45657,11921,2.0,0.8,61429,32019,43.2,3.4,57203,4788,36.4,3.1,61733,6888,3.5,1.3,60475,49312,42.2,3.4,56615,6420,37.7,3.0,63110,6914,16.6,2.3,34592,9422,12657,560,59994,4143,52.0,3.9,52805,5048,48.0,3.9,65484,6282,65.7,4.1,68735,4380,21.4,3.8,30194,6572,12.9,3.0,52418,12836,2717,459,29738,6613,54.7,8.8,23184,3492,42.4,7.6,22865,2692,12.3,7.7,28431,26691,45.3,8.8,42270,12222,35.5,9.6,40485,13781,9.9,4.2,67656,28354,28.2,(X),(X),(X),29.2,(X),(X),(X),18.9,(X),(X),(X)
8600000US92394,92394,ZCTA5 92394,7490,343,51500,7174,53.2,4.7,55439,6353,21.5,3.8,40000,16808,1.7,1.4,46058,104995,5.1,1.5,59783,13403,0.4,0.3,-,**,16.2,3.8,29554,30594,1.9,1.1,61563,18811,45.3,4.0,43556,7969,27.8,3.8,63506,5928,3.5,2.1,29750,30913,47.9,4.9,54091,16086,35.1,5.0,54260,4167,13.5,2.6,38417,15157,6559,381,47587,7441,56.7,4.1,47822,7424,43.3,4.1,47300,13264,59.0,5.8,62988,7837,31.5,5.8,26120,6295,9.6,3.6,48451,14023,931,223,55298,19303,51.7,12.7,38836,35844,32.9,11.0,27361,26630,18.8,10.7,80721,29343,48.3,12.7,55833,6631,25.7,11.2,55933,14758,22.7,14.1,54811,85267,36.8,(X),(X),(X),36.5,(X),(X),(X),32.9,(X),(X),(X)
8600000US92395,92395,ZCTA5 92395,13138,446,38709,2163,74.1,3.1,43345,4456,12.9,2.5,22708,6243,0.4,0.3,41583,18704,4.0,1.5,35833,7669,0.0,0.3,-,**,7.1,2.1,41328,12361,1.5,0.6,23950,10268,33.0,2.9,39201,3406,49.2,2.9,49000,5132,5.5,1.4,30170,19213,35.9,2.8,50417,10520,35.5,2.8,42800,5492,23.2,2.0,26496,2151,9437,454,42695,3769,50.0,3.5,38259,6356,50.0,3.5,50354,7723,59.9,3.7,62563,5178,28.9,3.8,21478,3557,11.2,3.0,35787,10845,3701,410,24397,2916,54.7,5.5,20625,2723,45.2,5.5,19356,3283,9.5,3.4,48352,22236,45.3,5.5,28190,5338,32.5,6.1,24369,5203,12.8,5.5,45456,25699,33.3,(X),(X),(X),35.5,(X),(X),(X),24.5,(X),(X),(X)
8600000US92397,92397,ZCTA5 92397,1866,189,54000,15325,97.6,3.7,55673,18188,0.0,1.9,-,**,0.0,1.9,-,**,0.0,1.9,-,**,0.0,1.9,-,**,0.0,1.9,-,**,2.4,3.7,-,**,11.5,5.7,37368,10643,88.5,5.7,58750,24366,3.9,3.2,7432,7052,31.5,7.8,67670,21898,42.0,8.4,91026,22448,22.7,7.5,37553,26370,1196,199,56538,25610,47.8,10.5,55577,23603,52.2,10.5,82381,54221,75.1,9.8,91212,14082,16.5,8.5,32379,24146,8.4,6.8,26696,26948,670,160,33125,20621,58.1,15.3,30598,21896,50.9,15.3,21495,15857,7.2,7.9,130625,106297,41.9,15.3,68938,67173,24.6,13.3,69188,55540,17.3,11.8,22188,114850,41.6,(X),(X),(X),45.4,(X),(X),(X),34.9,(X),(X),(X)
8600000US92398,92398,ZCTA5 92398,378,139,63750,17545,85.2,18.2,70433,13711,9.8,16.6,-,**,5.0,8.3,-,**,0.0,8.8,-,**,0.0,8.8,-,**,0.0,8.8,-,**,0.0,8.8,-,**,0.0,8.8,-,**,85.2,18.2,70433,13711,0.0,8.8,-,**,35.4,24.2,145089,154347,51.3,22.6,58043,36673,13.2,15.8,-,**,287,122,71017,3625,39.0,26.7,76071,105468,61.0,26.7,47614,46129,90.2,15.8,70550,11746,0.0,11.5,-,**,9.8,15.8,-,**,91,89,54291,21192,0.0,30.9,-,**,0.0,30.9,-,**,0.0,30.9,-,**,100.0,30.9,54291,21192,38.5,49.5,-,**,61.5,49.5,-,**,41.3,(X),(X),(X),54.4,(X),(X),(X),0.0,(X),(X),(X)
8600000US92399,92399,ZCTA5 92399,18285,512,59302,3606,86.9,1.9,60017,3645,1.0,0.5,77554,34582,0.6,0.5,53750,152230,1.4,0.6,84653,56351,0.5,0.5,-,**,7.7,1.7,43109,6547,1.8,0.7,57083,34554,23.0,2.2,51164,11983,73.0,2.3,60197,4182,0.5,0.3,26912,24100,30.9,1.6,63150,8170,42.7,1.7,71742,5909,25.9,1.6,40947,5184,13696,400,70462,5374,44.1,2.8,65580,9267,55.9,2.8,72213,4384,75.3,2.7,82412,5332,16.4,2.2,37005,3341,8.3,1.9,32647,13727,4589,474,32059,4437,56.3,4.9,30031,6019,47.4,5.0,25592,3781,8.9,3.6,66932,31944,43.7,4.9,34555,10928,35.1,4.7,29054,3468,8.7,4.1,56944,12111,30.3,(X),(X),(X),30.6,(X),(X),(X),27.2,(X),(X),(X)
8600000US92401,92401,ZCTA5 92401,682,127,16649,4403,33.4,10.3,30058,24170,28.9,9.1,21125,10212,0.0,5.0,-,**,4.8,3.6,17639,27459,0.0,5.0,-,**,31.2,11.4,13065,3468,1.6,2.1,-,**,52.5,11.7,14904,6216,12.3,5.3,45000,32637,11.4,6.8,7039,27189,47.1,12.0,17784,8409,17.6,8.3,29688,10044,23.9,6.9,11903,3138,390,115,17500,9991,70.8,13.5,15294,6590,29.2,13.5,23810,7565,39.0,14.2,26591,13507,52.8,14.8,14219,2228,8.2,7.3,15313,20585,292,86,11350,3008,44.2,18.0,11325,1210,43.2,18.0,11250,1185,1.0,1.8,-,**,55.8,18.0,12656,13879,42.1,18.7,7880,11735,13.7,14.0,-,**,44.3,(X),(X),(X),48.5,(X),(X),(X),34.9,(X),(X),(X)
